User,LP Balance,LP Balance - withdrawn,is_contract,contract_type,events,withdrawn_eth,withdrawn_crv,eth_to_redeem,crv_to_redeem
0x4f58985B75EeC8f14C536878A19EAdF4a1960D6c,61192420632973798909347,61192420632973798909347,False,,[],0,0,1246743100880901636096,3287864415417743423045632
0x600b8A34ec1CfD8B8aF78cFC49708419A16ea2e8,54668375495351371029044,54668375495351371029044,False,,[],0,0,1113821275252329938944,2937327933437009402527744
0xE2b91d3E7792f99cA782a72705F19Db6203C9175,48935159110390357418924,48935159110390357418924,False,,[],0,0,997011907362153037824,2629282624181081036816384
0x7421c1eD16B400e4868CE696452C3C985F8CD04D,28872143158215206248317,28872143158215206248317,False,,[],0,0,588245160394159292416,1551298201718636786221056
0xCB16F82E5949975f9Cf229C91c3A6D43e3B32a9E,16939537392445667682824,16939537392445667682824,False,,[],0,0,345128549544018116608,910160141242213664292864
0x8607a7D180de23645Db594D90621d837749408d5,15383755774315767008027,9325595941104883338011,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x8607a7D180de23645Db594D90621d837749408d5', 'token_amount': 15383755774315767008027, 'coin_index': 0, 'coin_amount': 246859624050221460064}), 'event': 'RemoveLiquidityOne', 'logIndex': 130, 'transactionIndex': 68, 'transactionHash': HexBytes('0x9eb43da716c1db83fb134d73fccacddf14b1424dd6c32ee721db391a333d2caa'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x346df023545b2380b51a1437e56ce32f9444c6ff5cbb774b1a28092d45fa2ae6'), 'blockNumber': 17808339})]",246859624050221460064,0,66571209031251853312,826568105374065822269440
0x4A41D76B0524a3989998380c033f12bfEb5f7201,12000000610730216594600,12000000610730216594600,False,,[],0,0,244489723028422721536,644759180710542351269888
0x4bfb33d65f4167EBE190145939479227E7bf2CB0,11956118225401346099280,11619364647457777264720,True,,"[AttributeDict({'args': AttributeDict({'provider': '0x4bfb33d65f4167EBE190145939479227E7bf2CB0', 'token_amounts': [12194793834351438591, 4027836096815881233747], 'token_supply': 535229512415287053214815}), 'event': 'RemoveLiquidity', 'logIndex': 219, 'transactionIndex': 84, 'transactionHash': HexBytes('0x2904ebb3e743dfc5fc79b33be8c365a2a55c122d7fc8ec286d33921c920383c9'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x33a3ab7c4b786bee0064ddbe220352e12d369c4a4f06187d2152d0aeb5ec4b66'), 'blockNumber': 17813722})]",12194793834351438591,4027836096815881233747,231400863220000555008,638373547166035724992512
0x80E6c4918ce508c08F7e4298f64464044cF79Db7,10995367782464597265366,10995367782464597265366,False,,[],0,0,224021190576158474240,590780330185463913512960
0x36b6813A61696B0b3c32788750C42911f247E20e,9579541254866456199626,6059752151050224058826,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x36b6813A61696B0b3c32788750C42911f247E20e', 'token_amount': 9579541254866456199626, 'coin_index': 0, 'coin_amount': 143425369885564539475}), 'event': 'RemoveLiquidityOne', 'logIndex': 5, 'transactionIndex': 6, 'transactionHash': HexBytes('0x59156fe83f432be0427e9f9ce8507be9214dd671e3d43b0853af8b715992946f'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x125abc39b453f2735e13afa58710968d3fd76aa29b17610299cd6e91a64d7d37'), 'blockNumber': 17808624})]",143425369885564539475,0,51749569192970125312,514708071393563743617024
0x7c132BdE28AD1e0101D45121757d7c6C2e8A550a,9100652033328073502083,8844324931499020803459,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x7c132BdE28AD1e0101D45121757d7c6C2e8A550a', 'token_amounts': [9282325016561271803, 3065872557743898076815], 'token_supply': 515493341981028649974218}), 'event': 'RemoveLiquidity', 'logIndex': 50, 'transactionIndex': 11, 'transactionHash': HexBytes('0x76c2794c23bb88ccd4886e4277bee11e0c3096d61c320dbf4a91e63dc65a1685'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x8710f75ef5e6a67596c8ec4197f284a832d090aaf07909637351939be472382c'), 'blockNumber': 17818547})]",9282325016561271803,3065872557743898076815,176135656797277782016,485911514967845571133440
0x17ad4E76e67E9937A2B2EF882e4042Dd00Cc60F7,8912330575002120309916,8661307818303463595164,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x17ad4E76e67E9937A2B2EF882e4042Dd00Cc60F7', 'token_amounts': [9090239766312602665, 3002428442564344597519], 'token_supply': 505831177758322525862824}), 'event': 'RemoveLiquidity', 'logIndex': 299, 'transactionIndex': 159, 'transactionHash': HexBytes('0x5e50a3eedb2a65ca2d3b9dec5f1ea5988844607331e989bcdbc9bef028923dd4'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xae0b89185c1d6d112a2da6dc9ec892bfd9dce4e1a2dd460e930c4c2170126a46'), 'blockNumber': 17819347})]",9090239766312602665,3002428442564344597519,172490853810599985152,475856460499626533847040
0xf4Aeb9775C55948ca29C443d56F5d2f62E430394,8722041867986851834184,8722041867986851834184,False,,[],0,0,177704124334761148416,468634690226407100907520
0xC1415496475d70Cfe84D5360864F8A89e7b6CF28,8000541411344569932239,4576017308097048287695,False,,"[AttributeDict({'args': AttributeDict({'provider': '0xC1415496475d70Cfe84D5360864F8A89e7b6CF28', 'token_amount': 8000541411344569932239, 'coin_index': 0, 'coin_amount': 139543484482572150412}), 'event': 'RemoveLiquidityOne', 'logIndex': 73, 'transactionIndex': 43, 'transactionHash': HexBytes('0x83723ff615b528e2c322d691f0bb5c3a60235e670446c8d644f295913753d39c'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x0b42db68d82907ab6921ed17579ca665e7885901f20db2bbad741a33f790cd0e'), 'blockNumber': 17808086})]",139543484482572150412,0,23460686699551784960,429868521923799597187072
0x0700D5329642fEa897b4B09CE3675bA131de154D,7566704264770147010484,7566704264770147010484,False,,[],0,0,154165111314862178304,406558482844551305232384
0x394A16eeA604fBD86B0b45184b2d790c83a950E3,7228397290184803232471,7228397290184803232471,False,,[],0,0,147272396789415084032,388381273122806503047168
0x6B80E28F1cCcA845Bc27E8512A750745EC706e83,7040550474530203631616,6842247771404269195264,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x6B80E28F1cCcA845Bc27E8512A750745EC706e83', 'token_amounts': [7181098404901303442, 2371855380496205872666], 'token_supply': 547379986055632023717565}), 'event': 'RemoveLiquidity', 'logIndex': 293, 'transactionIndex': 99, 'transactionHash': HexBytes('0xca6d247f37f6507eb24cb9fdfdad29844dded94af71dccea897223a20ce19639'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x7da9f191322092a98b13434c7e3ed2eee34e77d0c860e4a23a04d28cb27fa736'), 'blockNumber': 17813152})]",7181098404901303442,2371855380496205872666,136264080585033220096,375916421675939795042304
0x74aea9791a0074Fa6A239D54b3Be22F50Ae83968,6996808680199921281347,6996808680199921281347,False,,[],0,0,142553977436910092288,375938033553116250505216
0xc7542954D927e4EEDd066768c6CB8dD870F7923c,6908418755542594572683,6908418755542594572683,False,,[],0,0,140753108512066093056,371188849177728403898368
0x221697Cd665C5E412C84a90DCB931a8B4AFe5c42,6074302157169995327640,3784517678216628185240,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x221697Cd665C5E412C84a90DCB931a8B4AFe5c42', 'token_amount': 6074302157169995327640, 'coin_index': 0, 'coin_amount': 93304790760343727619}), 'event': 'RemoveLiquidityOne', 'logIndex': 101, 'transactionIndex': 74, 'transactionHash': HexBytes('0x37bea8e65534f09afce436b4ba375c1fec130b976b31a6675eee9b680bb2a754'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xeddfdf11826dcb2142146af17e6b61f0924502ed534dbf37fe4f86d2e5da5bf6'), 'blockNumber': 17808397})]",93304790760343727619,0,30453907274178461696,326371823576672645414912
0x942d484C008d86C92d62fce9Cbdf010f89d4F899,5382262795293119280369,5382262795293119280369,True,,[],0,0,109658989426278383616,289188597803817508012032
0x196A3Dc8446920Cef0f0d1f6Bf7Ba5b40702C79f,5131987696135848927343,2944237941146458071151,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x196A3Dc8446920Cef0f0d1f6Bf7Ba5b40702C79f', 'token_amount': 5131987696135848927343, 'coin_index': 0, 'coin_amount': 89147050738409500052}), 'event': 'RemoveLiquidityOne', 'logIndex': 337, 'transactionIndex': 88, 'transactionHash': HexBytes('0x958783582ea1ee3718f15b5898ff3e850b6b92782718814968b6cf87736ca72e'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x8a864bbbcabfda6e7af59dcbb3348252c41f2fc5d2746d0a2857be067b2f9857'), 'blockNumber': 17808205})]",89147050738409500052,0,15412798141229481984,275741334497797391515648
0xD1A992417a0ABFFa632Cbde4DA9F5DcF85CAa858,4896204072024649236480,4896204072024649236480,False,,[],0,0,109571921701049597952,288958986045541941510144
0xb1CCF81aF23C05B99D5AaEa9F521a5e912E17767,4766304594170645315584,4632057834863281995776,False,,"[AttributeDict({'args': AttributeDict({'provider': '0xb1CCF81aF23C05B99D5AaEa9F521a5e912E17767', 'token_amounts': [4861452587023242661, 1605696207656515786674], 'token_supply': 559609562371833302345781}), 'event': 'RemoveLiquidity', 'logIndex': 164, 'transactionIndex': 81, 'transactionHash': HexBytes('0x1ccc1607422f869b5fe224415f186ff54929e94e2e60436357adc97c51b2681b'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0x54cf7e62bcf114149d6af25c09eb47ee17fd096ffea8253ea885876bf083fdc9'), 'blockNumber': 17809561})]",4861452587023242661,1605696207656515786674,92247916645497896960,254487511188218415415296
0xD5431FecbB14f20f8Ee68360b586D84D589F9f77,4671212573103684764540,2929681884889556632444,False,,"[AttributeDict({'args': AttributeDict({'provider': '0xD5431FecbB14f20f8Ee68360b586D84D589F9f77', 'token_amount': 4671212573103684764540, 'coin_index': 0, 'coin_amount': 70964388989487042082}), 'event': 'RemoveLiquidityOne', 'logIndex': 164, 'transactionIndex': 53, 'transactionHash': HexBytes('0xf86678b725074a791651cd6f0aa8549c6b6f39bbcb0db12a5a2edd50bc3658e8'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xaf241865e212b1ee43b0c76960227a955828c8b561caed1e1c4ecfd09ba4ab30'), 'blockNumber': 17808402})]",70964388989487042082,0,24207561850564591616,250983919856304342958080
0x09CF50574504d9dcf127E848A6058e8e0Bb814Aa,4547642717420281267616,2543954655679285691808,False,,"[AttributeDict({'args': AttributeDict({'provider': '0x09CF50574504d9dcf127E848A6058e8e0Bb814Aa', 'token_amount': 5254539058317626051126, 'coin_index': 0, 'coin_amount': 81646852386385543072}), 'event': 'RemoveLiquidityOne', 'logIndex': 202, 'transactionIndex': 71, 'transactionHash': HexBytes('0xecee54117516237d547455f864053f42831fdcd19b99d3bf78c47f49d1643d38'), 'address': '0x8301AE4fc9c624d1D396cbDAa1ed877821D7C511', 'blockHash': HexBytes('0xe677741025187e0615c65bcb5edac436d464f7de63ca27c2e929bd83983b4d39'), 'blockNumber': 17808393})]",81646852386385543072,0,11007468599240687616,244344520284965240307712
